DATE,UNE,SUBMARCA,CATEGORIA,RATE_CATEGORY_MODA
2020-1-01,COSMETIQUERA,LUCENTZZA,moda,0.9
2020-1-01,COSMETIQUERA,LUCENTZZA,basico,0.1
2020-1-01,COSMETIQUERA,CLOESPORT,moda,0.9
2020-1-01,COSMETIQUERA,CLOESPORT,basico,0.1
2020-1-01,COSMETIQUERA,CLOEUOMO,moda,0.9
2020-1-01,COSMETIQUERA,CLOEUOMO,basico,0.1
2020-1-01,COSMETIQUERA,CLOELEATHER,moda,0.9
2020-1-01,COSMETIQUERA,CLOELEATHER,basico,0.1
2020-1-01,COSMETIQUERA,CLOEGIRLS,moda,0.9
2020-1-01,COSMETIQUERA,CLOEGIRLS,basico,0.1
2020-1-01,COSMETIQUERA,CLOE,moda,0.9
2020-1-01,COSMETIQUERA,CLOE,basico,0.1
2020-1-01,COSMETIQUERA,CLOEMOM&BABY,moda,0.9
2020-1-01,COSMETIQUERA,CLOEMOM&BABY,basico,0.1
2020-2-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,moda,0.9
2020-2-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,basico,0.1
2020-2-01,COSMETIQUERA,LUCENTZZA,moda,0.9
2020-2-01,COSMETIQUERA,LUCENTZZA,basico,0.1
2020-2-01,COSMETIQUERA,CLOESPORT,moda,0.9
2020-2-01,COSMETIQUERA,CLOESPORT,basico,0.1
2020-2-01,COSMETIQUERA,CLOEUOMO,moda,0.9
2020-2-01,COSMETIQUERA,CLOEUOMO,basico,0.1
2020-2-01,COSMETIQUERA,CLOELEATHER,moda,0.9
2020-2-01,COSMETIQUERA,CLOELEATHER,basico,0.1
2020-2-01,COSMETIQUERA,CLOEGIRLS,moda,0.9
2020-2-01,COSMETIQUERA,CLOEGIRLS,basico,0.1
2020-2-01,COSMETIQUERA,CLOE,moda,0.9
2020-2-01,COSMETIQUERA,CLOE,basico,0.1
2020-2-01,COSMETIQUERA,CLOEMOM&BABY,moda,0.9
2020-2-01,COSMETIQUERA,CLOEMOM&BABY,basico,0.1
2020-3-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,moda,0.9
2020-3-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,basico,0.1
2020-3-01,COSMETIQUERA,LUCENTZZA,moda,0.9
2020-3-01,COSMETIQUERA,LUCENTZZA,basico,0.1
2020-3-01,COSMETIQUERA,CLOESPORT,moda,0.9
2020-3-01,COSMETIQUERA,CLOESPORT,basico,0.1
2020-3-01,COSMETIQUERA,CLOEUOMO,moda,0.9
2020-3-01,COSMETIQUERA,CLOEUOMO,basico,0.1
2020-3-01,COSMETIQUERA,CLOELEATHER,moda,0.9
2020-3-01,COSMETIQUERA,CLOELEATHER,basico,0.1
2020-3-01,COSMETIQUERA,CLOEGIRLS,moda,0.9
2020-3-01,COSMETIQUERA,CLOEGIRLS,basico,0.1
2020-3-01,COSMETIQUERA,CLOE,moda,0.9
2020-3-01,COSMETIQUERA,CLOE,basico,0.1
2020-3-01,COSMETIQUERA,CLOEMOM&BABY,moda,0.9
2020-3-01,COSMETIQUERA,CLOEMOM&BABY,basico,0.1
2020-4-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,moda,0.9
2020-4-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,basico,0.1
2020-4-01,COSMETIQUERA,LUCENTZZA,moda,0.9
2020-4-01,COSMETIQUERA,LUCENTZZA,basico,0.1
2020-4-01,COSMETIQUERA,CLOESPORT,moda,0.9
2020-4-01,COSMETIQUERA,CLOESPORT,basico,0.1
2020-4-01,COSMETIQUERA,CLOEUOMO,moda,0.9
2020-4-01,COSMETIQUERA,CLOEUOMO,basico,0.1
2020-4-01,COSMETIQUERA,CLOELEATHER,moda,0.9
2020-4-01,COSMETIQUERA,CLOELEATHER,basico,0.1
2020-4-01,COSMETIQUERA,CLOEGIRLS,moda,0.9
2020-4-01,COSMETIQUERA,CLOEGIRLS,basico,0.1
2020-4-01,COSMETIQUERA,CLOE,moda,0.9
2020-4-01,COSMETIQUERA,CLOE,basico,0.1
2020-4-01,COSMETIQUERA,CLOEMOM&BABY,moda,0.9
2020-4-01,COSMETIQUERA,CLOEMOM&BABY,basico,0.1
2020-5-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,moda,0.9
2020-5-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,basico,0.1
2020-5-01,COSMETIQUERA,LUCENTZZA,moda,0.9
2020-5-01,COSMETIQUERA,LUCENTZZA,basico,0.1
2020-5-01,COSMETIQUERA,CLOESPORT,moda,0.9
2020-5-01,COSMETIQUERA,CLOESPORT,basico,0.1
2020-5-01,COSMETIQUERA,CLOEUOMO,moda,0.9
2020-5-01,COSMETIQUERA,CLOEUOMO,basico,0.1
2020-5-01,COSMETIQUERA,CLOELEATHER,moda,0.9
2020-5-01,COSMETIQUERA,CLOELEATHER,basico,0.1
2020-5-01,COSMETIQUERA,CLOEGIRLS,moda,0.9
2020-5-01,COSMETIQUERA,CLOEGIRLS,basico,0.1
2020-5-01,COSMETIQUERA,CLOE,moda,0.9
2020-5-01,COSMETIQUERA,CLOE,basico,0.1
2020-5-01,COSMETIQUERA,CLOEMOM&BABY,moda,0.9
2020-5-01,COSMETIQUERA,CLOEMOM&BABY,basico,0.1
2020-6-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,moda,0.9
2020-6-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,basico,0.1
2020-6-01,COSMETIQUERA,LUCENTZZA,moda,0.9
2020-6-01,COSMETIQUERA,LUCENTZZA,basico,0.1
2020-6-01,COSMETIQUERA,CLOESPORT,moda,0.9
2020-6-01,COSMETIQUERA,CLOESPORT,basico,0.1
2020-6-01,COSMETIQUERA,CLOEUOMO,moda,0.9
2020-6-01,COSMETIQUERA,CLOEUOMO,basico,0.1
2020-6-01,COSMETIQUERA,CLOELEATHER,moda,0.9
2020-6-01,COSMETIQUERA,CLOELEATHER,basico,0.1
2020-6-01,COSMETIQUERA,CLOEGIRLS,moda,0.9
2020-6-01,COSMETIQUERA,CLOEGIRLS,basico,0.1
2020-6-01,COSMETIQUERA,CLOE,moda,0.9
2020-6-01,COSMETIQUERA,CLOE,basico,0.1
2020-6-01,COSMETIQUERA,CLOEMOM&BABY,moda,0.9
2020-6-01,COSMETIQUERA,CLOEMOM&BABY,basico,0.1
2020-7-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,moda,0.9
2020-7-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,basico,0.1
2020-7-01,COSMETIQUERA,LUCENTZZA,moda,0.9
2020-7-01,COSMETIQUERA,LUCENTZZA,basico,0.1
2020-7-01,COSMETIQUERA,CLOESPORT,moda,0.9
2020-7-01,COSMETIQUERA,CLOESPORT,basico,0.1
2020-7-01,COSMETIQUERA,CLOEUOMO,moda,0.9
2020-7-01,COSMETIQUERA,CLOEUOMO,basico,0.1
2020-7-01,COSMETIQUERA,CLOELEATHER,moda,0.9
2020-7-01,COSMETIQUERA,CLOELEATHER,basico,0.1
2020-7-01,COSMETIQUERA,CLOEGIRLS,moda,0.9
2020-7-01,COSMETIQUERA,CLOEGIRLS,basico,0.1
2020-7-01,COSMETIQUERA,CLOE,moda,0.9
2020-7-01,COSMETIQUERA,CLOE,basico,0.1
2020-7-01,COSMETIQUERA,CLOEMOM&BABY,moda,0.9
2020-7-01,COSMETIQUERA,CLOEMOM&BABY,basico,0.1
2020-8-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,moda,0.9
2020-8-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,basico,0.1
2020-8-01,COSMETIQUERA,LUCENTZZA,moda,0.9
2020-8-01,COSMETIQUERA,LUCENTZZA,basico,0.1
2020-8-01,COSMETIQUERA,CLOESPORT,moda,0.9
2020-8-01,COSMETIQUERA,CLOESPORT,basico,0.1
2020-8-01,COSMETIQUERA,CLOEUOMO,moda,0.9
2020-8-01,COSMETIQUERA,CLOEUOMO,basico,0.1
2020-8-01,COSMETIQUERA,CLOELEATHER,moda,0.9
2020-8-01,COSMETIQUERA,CLOELEATHER,basico,0.1
2020-8-01,COSMETIQUERA,CLOEGIRLS,moda,0.9
2020-8-01,COSMETIQUERA,CLOEGIRLS,basico,0.1
2020-8-01,COSMETIQUERA,CLOE,moda,0.9
2020-8-01,COSMETIQUERA,CLOE,basico,0.1
2020-8-01,COSMETIQUERA,CLOEMOM&BABY,moda,0.9
2020-8-01,COSMETIQUERA,CLOEMOM&BABY,basico,0.1
2020-9-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,moda,0.9
2020-9-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,basico,0.1
2020-9-01,COSMETIQUERA,LUCENTZZA,moda,0.9
2020-9-01,COSMETIQUERA,LUCENTZZA,basico,0.1
2020-9-01,COSMETIQUERA,CLOESPORT,moda,0.9
2020-9-01,COSMETIQUERA,CLOESPORT,basico,0.1
2020-9-01,COSMETIQUERA,CLOEUOMO,moda,0.9
2020-9-01,COSMETIQUERA,CLOEUOMO,basico,0.1
2020-9-01,COSMETIQUERA,CLOELEATHER,moda,0.9
2020-9-01,COSMETIQUERA,CLOELEATHER,basico,0.1
2020-9-01,COSMETIQUERA,CLOEGIRLS,moda,0.9
2020-9-01,COSMETIQUERA,CLOEGIRLS,basico,0.1
2020-9-01,COSMETIQUERA,CLOE,moda,0.9
2020-9-01,COSMETIQUERA,CLOE,basico,0.1
2020-9-01,COSMETIQUERA,CLOEMOM&BABY,moda,0.9
